Game Date,Game Time,Visitor,Home,Arena,City,Notes
10/22/2024,7:30p,New York Knicks,Boston Celtics,TD Garden,Boston,
10/23/2024,7:30p,Milwaukee Bucks,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
10/24/2024,7:00p,Boston Celtics,Washington Wizards,Capital One Arena,Washington DC,
10/25/2024,7:30p,Indiana Pacers,New York Knicks,Madison Square Garden (IV),New York,
10/26/2024,7:00p,Cleveland Cavaliers,Washington Wizards,Capital One Arena,Washington DC,
10/27/2024,6:00p,Milwaukee Bucks,Brooklyn Nets,Barclays Center,New York,
10/28/2024,7:30p,Milwaukee Bucks,Boston Celtics,TD Garden,Boston,
10/28/2024,7:30p,Cleveland Cavaliers,New York Knicks,Madison Square Garden (IV),New York,
10/29/2024,7:30p,Denver Nuggets,Brooklyn Nets,Barclays Center,New York,
10/30/2024,7:00p,Detroit Pistons,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
10/30/2024,7:00p,Atlanta Hawks,Washington Wizards,Capital One Arena,Washington DC,
11/1/2024,7:30p,Chicago Bulls,Brooklyn Nets,Barclays Center,New York,
11/2/2024,7:30p,Memphis Grizzlies,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
11/3/2024,3:30p,Detroit Pistons,Brooklyn Nets,Barclays Center,New York,
11/4/2024,7:15p,Golden State Warriors,Washington Wizards,Capital One Arena,Washington DC,
11/4/2024,8:00p,Memphis Grizzlies,Brooklyn Nets,Barclays Center,New York,
11/6/2024,7:30p,Golden State Warriors,Boston Celtics,TD Garden,Boston,
11/8/2024,7:30p,Brooklyn Nets,Boston Celtics,TD Garden,Boston,
11/8/2024,7:30p,Milwaukee Bucks,New York Knicks,Madison Square Garden (IV),New York,
11/10/2024,7:00p,Charlotte Hornets,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
11/12/2024,7:00p,Atlanta Hawks,Boston Celtics,TD Garden,Boston,In-Season Tournament
11/12/2024,7:30p,New York Knicks,Philadelphia 76ers,Wells Fargo Center,Philidelphia,In-Season Tournament
11/13/2024,7:30p,Boston Celtics,Brooklyn Nets,Barclays Center,New York,
11/13/2024,7:30p,Chicago Bulls,New York Knicks,Madison Square Garden (IV),New York,
11/13/2024,7:30p,Cleveland Cavaliers,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
11/15/2024,7:30p,Brooklyn Nets,New York Knicks,Madison Square Garden (IV),New York,In-Season Tournament
11/16/2024,8:00p,Toronto Raptors,Boston Celtics,TD Garden,Boston,
11/17/2024,6:00p,Detroit Pistons,Washington Wizards,Capital One Arena,Washington DC,
11/17/2024,7:00p,Brooklyn Nets,New York Knicks,Madison Square Garden (IV),New York,
11/18/2024,7:30p,Washington Wizards,New York Knicks,Madison Square Garden (IV),New York,
11/19/2024,7:00p,Cleveland Cavaliers,Boston Celtics,TD Garden,Boston,In-Season Tournament
11/19/2024,7:30p,Charlotte Hornets,Brooklyn Nets,Barclays Center,New York,In-Season Tournament
